index,word,stem,suffix,frequency,frequency_in_a_million
593,larman,lar,man,37,0.09934303777880137
594,leibman,leib,man,37,0.09934303777880137
595,busman,bus,man,37,0.09934303777880137
596,masterman,master,man,37,0.09934303777880137
597,feinman,fein,man,37,0.09934303777880137
598,valeman,vale,man,36,0.09665809081180674
599,spoilsman,spoils,man,36,0.09665809081180674
600,placeman,place,man,36,0.09665809081180674
601,kirkman,kirk,man,36,0.09665809081180674
602,toman,to,man,36,0.09665809081180674
603,feynman,feyn,man,36,0.09665809081180674
604,dickerman,dicker,man,36,0.09665809081180674
605,lederman,leder,man,36,0.09665809081180674
606,lobsterman,lobster,man,36,0.09665809081180674
607,eisenman,eisen,man,36,0.09665809081180674
608,carlman,carl,man,36,0.09665809081180674
609,greenman,green,man,35,0.0939731438448121
610,futterman,futter,man,35,0.0939731438448121
611,hotelman,hotel,man,35,0.0939731438448121
612,merryman,merry,man,35,0.0939731438448121
613,wightman,wight,man,35,0.0939731438448121
614,korman,kor,man,35,0.0939731438448121
615,cracksman,cracks,man,34,0.09128819687781747
616,fadiman,fadi,man,34,0.09128819687781747
